         10624935 function calls (9814326 primitive calls) in 9.771 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       59    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      232    0.001    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
     1539    0.001    0.000    0.005    0.000 {built-in method builtins.any}
       12    0.001    0.000    0.003    0.000 enum.py:135(__new__)
     6939    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
       38    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
     6364    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     2584    0.001    0.000    0.005    0.000 enum.py:284(__call__)
     2718    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      286    0.001    0.000    0.005    0.000 overrides.py:72(verify_matching_signatures)
     5018    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      564    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      569    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
    467/1    0.001    0.000    0.445    0.445 <frozen importlib._bootstrap_external>:722(exec_module)
      467    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      408    0.001    0.000    0.022    0.000 artist.py:1241(get_valid_values)
      179    0.001    0.000    0.032    0.000 sre_compile.py:759(compile)
       60    0.001    0.000    0.002    0.000 function_base.py:26(linspace)
     4061    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
     6845    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      316    0.001    0.000    0.028    0.000 overrides.py:166(decorator)
  407/179    0.001    0.000    0.018    0.000 sre_parse.py:411(_parse_sub)
      995    0.001    0.000    0.003    0.000 font_manager.py:883(_json_decode)
  569/566    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       64    0.001    0.000    0.007    0.000 colors.py:729(from_list)
     1045    0.001    0.000    0.006    0.000 colors.py:149(to_rgba)
     2380    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      467    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        1    0.001    0.001    0.013    0.013 __init__.py:58(<module>)
       10    0.001    0.000    0.001    0.000 {built-in method gc.collect}
      564    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      467    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
    434/4    0.001    0.000    0.445    0.111 {built-in method builtins.__import__}
     1614    0.001    0.000    0.019    0.000 artist.py:1319(is_alias)
      616    0.001    0.000    0.003    0.000 _inspect.py:98(getargspec)
      564    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      179    0.001    0.000    0.003    0.000 sre_compile.py:536(_compile_info)
       12    0.001    0.000    0.015    0.001 artist.py:1213(get_aliases)
      934    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      621    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
     1798    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     2524    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
      410    0.001    0.000    0.002    0.000 copy.py:66(copy)
     2844    0.001    0.000    0.001    0.000 inspect.py:2799(<genexpr>)
     1234    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
     5119    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     3832    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     1293    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      621    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      605    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1394(__init__)
     1031    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      796    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
   260/11    0.001    0.000    0.002    0.000 pyparsing.py:1641(_parseNoCache)
      281    0.001    0.000    0.003    0.000 function_base.py:460(add_newdoc)
     1080    0.001    0.000    0.001    0.000 functools.py:67(wraps)
       33    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
     1831    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
      179    0.001    0.000    0.020    0.000 sre_parse.py:913(parse)
     2576    0.001    0.000    0.001    0.000 enum.py:526(__new__)
     1536    0.001    0.000    0.002    0.000 colors.py:115(_is_nth_color)
       72    0.001    0.000    0.007    0.000 __init__.py:1523(_preprocess_data)
     1536    0.001    0.000    0.003    0.000 re.py:170(match)
      467    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     1401    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        1    0.001    0.001    0.001    0.001 codata.py:1512(parse_constants_2018toXXXX)
      619    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      179    0.001    0.000    0.001    0.000 enum.py:836(__and__)
     1982    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
     1831    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
      124    0.000    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
       11    0.000    0.000    0.045    0.004 artist.py:1349(pprint_setters)
      467    0.000    0.000    0.003    0.000 deprecation.py:9(wrap)
       12    0.000    0.000    0.001    0.000 artist.py:1224(<listcomp>)
     2046    0.000    0.000    0.001    0.000 sre_parse.py:160(__len__)
       58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
       29    0.000    0.000    0.001    0.000 {built-in method io.open}
     3517    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      599    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      446    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      492    0.000    0.000    0.004    0.000 rcsetup.py:374(validate_color)
      467    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1260    0.000    0.000    0.000    0.000 colors.py:249(<genexpr>)
      408    0.000    0.000    0.001    0.000 artist.py:1326(aliased_name)
      449    0.000    0.000    0.001    0.000 artist.py:1301(_replace_path)
     1020    0.000    0.000    0.001    0.000 posixpath.py:64(isabs)
     3517    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       36    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      467    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     1327    0.000    0.000    0.001    0.000 sre_parse.py:286(tell)
    817/1    0.000    0.000    0.445    0.445 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      109    0.000    0.000    0.002    0.000 deprecation.py:183(deprecate)
      187    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
      738    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      944    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      467    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
     1659    0.000    0.000    0.001    0.000 inspect.py:158(isfunction)
      410    0.000    0.000    0.001    0.000 copy.py:268(_reconstruct)
      569    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
     1404    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 __init__.py:328(<listcomp>)
     2248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     2785    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      619    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      119    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     4614    0.000    0.000    0.000    0.000 inspect.py:2517(name)
        1    0.000    0.000    0.015    0.015 numeric.py:1(<module>)
        3    0.000    0.000    0.087    0.029 __init__.py:7(<module>)
      230    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
     1033    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      245    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
     2146    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     2408    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      599    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      410    0.000    0.000    0.002    0.000 pyparsing.py:1417(copy)
      179    0.000    0.000    0.011    0.000 sre_compile.py:598(_code)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1482(_guarded_repr_or_str)
  206/172    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      447    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.012    0.012 core.py:182(read_style_directory)
      517    0.000    0.000    0.014    0.000 re.py:180(search)
     1249    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      232    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       86    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
    97/95    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1040(create_module)
      599    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
      619    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      458    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.179    0.179 pyplot.py:19(<module>)
       26    0.000    0.000    0.001    0.000 _backend.py:216(get_defaults)
     2996    0.000    0.000    0.000    0.000 inspect.py:2529(kind)
       58    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      491    0.000    0.000    0.003    0.000 colors.py:120(is_color_like)
      616    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 __init__.py:2393(Canvas)
      411    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      572    0.000    0.000    0.000    0.000 <string>:1(__new__)
       31    0.000    0.000    0.007    0.000 _collections_abc.py:824(update)
       83    0.000    0.000    0.001    0.000 pyparsing.py:3854(__init__)
      180    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      179    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       12    0.000    0.000    0.000    0.000 enum.py:177(<setcomp>)
       82    0.000    0.000    0.001    0.000 inspect.py:535(_finddoc)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
     3133    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 radau.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        7    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
      254    0.000    0.000    0.003    0.000 rcsetup.py:358(validate_color_for_prop_cycle)
      569    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        1    0.000    0.000    0.002    0.002 pyplot.py:2024(_setup_pyplot_info_docstrings)
